Timestamp,Grade Level,Do you use your Redbook frequently (3 times a week or more),How much do you think a Redbook costs per person?,Do you think Redbooks are bad for the environment?,,#under who use R,#upper who use R,Worth by those who use it:,,,,,
2/5/2021 10:16:14,"Upperclassmen(11th, 12th)",No,$5,Yes,,,,,,,,,
2/5/2021 10:16:21,"Upperclassmen(11th, 12th)",Yes,$35,No,,,,,,,,,
2/5/2021 10:16:22,"Upperclassmen(11th, 12th)",No,$15,Yes,,,,,,,,,
2/5/2021 10:16:26,"Upperclassmen(11th, 12th)",No,$2,Yes,,,,,,,,,
2/5/2021 10:16:29,"Upperclassmen(11th, 12th)",No,$10,Yes,,,,,,,,,
2/5/2021 10:16:33,"Upperclassmen(11th, 12th)",No,$10,Yes,,,,,,,,,
2/5/2021 10:16:38,"Upperclassmen(11th, 12th)",Yes,$2,No,,,,,,,,,
2/5/2021 10:17:06,"Upperclassmen(11th, 12th)",No,$35,Yes,,,,,,,,,
2/5/2021 10:18:26,"Underclassmen(9th, 10th)",No,$5,Yes,,,,,,,,,
2/5/2021 10:18:47,"Underclassmen(9th, 10th)",Yes,$10,No,,,,,,,,,
2/5/2021 10:18:58,"Underclassmen(9th, 10th)",Yes,$5,No,,,,,,,,,
2/5/2021 10:19:16,"Upperclassmen(11th, 12th)",No,$2,No,,,,,,,,,
2/5/2021 10:20:02,"Underclassmen(9th, 10th)",Yes,$15,Yes,,,,,,,,,
2/5/2021 10:25:42,"Underclassmen(9th, 10th)",Yes,$15,Yes,,,,,,,,,
2/5/2021 10:27:09,"Upperclassmen(11th, 12th)",Yes,$5,No,,,,,,,,,
2/5/2021 10:27:20,"Underclassmen(9th, 10th)",Yes,$5,No,,,,,,,,,
2/5/2021 10:28:10,"Upperclassmen(11th, 12th)",No,$10,Yes,,,,,,,,,
2/5/2021 10:32:35,"Upperclassmen(11th, 12th)",Yes,$25,No,,,,,,,,,
2/5/2021 10:34:26,"Upperclassmen(11th, 12th)",No,$35,No,,,,,,,,,
2/5/2021 10:42:57,"Upperclassmen(11th, 12th)",No,$10,Yes,,,,,,,,,
2/5/2021 10:55:34,"Underclassmen(9th, 10th)",Yes,$5,No,,,,,,,,,
2/5/2021 11:09:04,"Underclassmen(9th, 10th)",Yes,$35,No,,,,,,,,,
2/5/2021 11:17:43,"Underclassmen(9th, 10th)",No,$15,Yes,,,,,,,,,
