Timestamp,Do you drink coffee most days of the week?,Do you prefer standards based grading or percentage grading?,What is your ideal number of minutes for a class?,How many student club would you say you actively participate in?,"On a scale of 1-10, how is online learning going for you so far this quarter?",What has been your favorite activity during shelter in place?,"On average, how many hours did you spend outside each weekday during the summer?","On average, how many hours do you spend outside each week day now that school has started?","On average, how many hours of sleep did you get per weeknight over the summer?","On average, how many hours of sleep do you get per weeknight now that school has started?",Would you feel safe at this moment having in person school with 8 students per class?,"I practice academic integrity (always, sometimes, never)",What is your current grade level?,Do you identify as POC?,I identify as:
9/2/2020 14:34:26,Yes,Percentage,60,3,4,Dungeons & Dragons,1,0,8,8,Yes,Always,12,Not sure,Boy/Man
9/2/2020 14:34:30,Yes,Percentage,60,2,7,Eating,2,0.5,10,7,Yes,Always,11,Yes,Boy/Man
9/2/2020 14:34:33,No,Percentage,60,2,4,running,3,2,9,8,Not sure,Always,12,Yes,Boy/Man
9/2/2020 14:34:49,Yes,Percentage,70,4,7,Walking,3,1,8,8,Yes,Always,12,Yes,Girl/Woman
9/2/2020 14:35:08,No,Percentage,60,2,2,Cooking,4,1,9,8,Yes,Always,12,No,Girl/Woman
9/2/2020 14:35:13,Yes,Percentage,75,4,8,Reading,2,2,7,8,Yes,Always,12,No,Boy/Man
9/2/2020 14:35:17,Yes,Not sure,50,0,10,working out,4,2,12,10,Yes,Always,11,No,Girl/Woman
9/2/2020 14:35:17,No,Not sure,45,1,3,Driving,2,0.5,7.5,7,Yes,Sometimes,11,No,Boy/Man
9/2/2020 14:35:20,No,Percentage,75,1,7,Cooking,2,1,8,7,Yes,Always,11,No,Girl/Woman
9/2/2020 14:35:21,No,Not sure,60,4,8,Reading,6,2,9,8,Not sure,Always,12,No,Girl/Woman
9/2/2020 14:35:28,No,Percentage,60,2,6,Watching TV,0.5,0.5,6,7,Yes,Always,11,No,Girl/Woman
9/2/2020 14:35:38,No,Percentage,45,1,5,guitar,1,0.1,7,4.5,No,Always,12,Yes,Boy/Man
9/2/2020 14:35:52,No,Not sure,60,3,6,Reading for fun,2,0.5,8,8,Not sure,Always,11,No,Girl/Woman
